Scraped At,Title,Year,Mileage,Engine,Fuel,Transmission,Price (PKR),City,Link,Notes
2025-11-16 07:26 PM PKT,Toyota Yaris Hatchback  2022 G for Sale,2022,"58,000 km",1500cc,Petrol,Automatic,"5,150,000",Multan,https://www.pakwheels.com/used-cars/toyota-yaris-hatchback-2022-for-sale-in-multan-10836047,8
2025-11-16 07:26 PM PKT,Toyota Crown  1992 Royal Saloon G for Sale,1992,"145,000 km",3000cc,Diesel,Automatic,"1,975,000",Lahore,https://www.pakwheels.com/used-cars/toyota-crown-1992-for-sale-in-lahore-10770296,9
2025-11-16 07:26 PM PKT,Honda City  2004 i-DSI for Sale,2004,"145,000 km",1300cc,Petrol,Manual,"1,775,000",Islamabad,https://www.pakwheels.com/used-cars/honda-city-2004-for-sale-in-islamabad-10829859,11
2025-11-16 07:26 PM PKT,Suzuki Alto  2013 ECO-S for Sale,2013,"131,000 km",660cc,Petrol,Automatic,"2,150,000",Karachi,https://www.pakwheels.com/used-cars/suzuki-alto-2013-for-sale-in-karachi-10835985,12
2025-11-16 07:26 PM PKT,Toyota Corolla  2019 Altis Grande CVT-i 1.8 for Sale,2019,"67,000 km",1800cc,Petrol,Automatic,"5,780,000",Faisalabad,https://www.pakwheels.com/used-cars/toyota-corolla-2019-for-sale-in-faisalabad-10835631,12
2025-11-16 07:26 PM PKT,Suzuki Jimny  2019 GA MT for Sale,2019,"52,000 km",1500cc,Petrol,Manual,"3,700,000",Islamabad,https://www.pakwheels.com/used-cars/suzuki-jimny-2019-for-sale-in-islamabad-10835993,3
2025-11-16 07:26 PM PKT,United Alpha  2021 1.0 Manual for Sale,2021,"41,000 km",993cc,Petrol,Manual,"1,450,000",Lahore,https://www.pakwheels.com/used-cars/united-alpha-2021-for-sale-in-lahore-10835986,12
2025-11-16 07:26 PM PKT,Audi e-tron GT  2022 Standard for Sale,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15
2025-11-16 07:26 PM PKT,Toyota Corolla 9th (E120) Generation 2007 XLi for Sale,2007,"295,866 km",1300cc,Petrol,Manual,"1,990,000",Nowshera,https://www.pakwheels.com/used-cars/toyota-corolla-2007-for-sale-in-nowshera-10558418,9
2025-11-16 07:26 PM PKT,Toyota Raize  2021 Z for Sale,2021,"61,677 km",1000cc,Petrol,Automatic,"5,990,000",Lahore,https://www.pakwheels.com/used-cars/toyota-raize-2021-for-sale-in-lahore-10791189,19
2025-11-16 07:26 PM PKT,MG HS  2021 Trophy for Sale,2021,"47,000 km",1500cc,Petrol,Automatic,"5,900,000",Lahore,https://www.pakwheels.com/used-cars/mg-hs-2021-for-sale-in-lahore-10784121,5
2025-11-16 07:26 PM PKT,Toyota Camry XV50 2011 Hybrid for Sale,2011,"140,000 km",2500cc,Hybrid,Automatic,"6,350,000",Islamabad,https://www.pakwheels.com/used-cars/toyota-camry-2011-for-sale-in-islamabad-10835954,18
